Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Fulib;scale_assay;2;0;0;Load;Memory;8388608
Fulib;scale_assay;2;0;0;Initial;Time;3971000
Fulib;scale_assay;2;0;0;Initial;Memory;8388608
Fulib;scale_assay;2;0;1;Update;Time;381900
Fulib;scale_assay;2;0;1;Update;Memory;8388608
Fulib;scale_assay;2;0;2;Update;Time;180200
Fulib;scale_assay;2;0;2;Update;Memory;8388608
Fulib;scale_assay;2;0;3;Update;Time;191700
Fulib;scale_assay;2;0;3;Update;Memory;8388608
Fulib;scale_assay;2;0;4;Update;Time;204800
Fulib;scale_assay;2;0;4;Update;Memory;8388608
Fulib;scale_assay;2;0;5;Update;Time;95700
Fulib;scale_assay;2;0;5;Update;Memory;8388608
Fulib;scale_assay;2;0;6;Update;Time;100000
Fulib;scale_assay;2;0;6;Update;Memory;8388608
Fulib;scale_assay;2;0;7;Update;Time;176500
Fulib;scale_assay;2;0;7;Update;Memory;8388608
Fulib;scale_assay;2;0;8;Update;Time;201200
Fulib;scale_assay;2;0;8;Update;Memory;8388608
Fulib;scale_assay;2;0;9;Update;Time;141400
Fulib;scale_assay;2;0;9;Update;Memory;8388608
Fulib;scale_assay;2;0;10;Update;Time;101200
Fulib;scale_assay;2;0;10;Update;Memory;8388608
Fulib;scale_assay;2;0;11;Update;Time;96800
Fulib;scale_assay;2;0;11;Update;Memory;8388608
Fulib;scale_assay;2;0;12;Update;Time;144800
Fulib;scale_assay;2;0;12;Update;Memory;8388608
Fulib;scale_assay;2;0;13;Update;Time;112200
Fulib;scale_assay;2;0;13;Update;Memory;8388608
Fulib;scale_assay;2;0;14;Update;Time;117000
Fulib;scale_assay;2;0;14;Update;Memory;8388608
Fulib;scale_assay;2;0;15;Update;Time;143400
Fulib;scale_assay;2;0;15;Update;Memory;8388608
Fulib;scale_assay;2;0;16;Update;Time;94300
Fulib;scale_assay;2;0;16;Update;Memory;8388608
Fulib;scale_assay;2;0;17;Update;Time;41200
Fulib;scale_assay;2;0;17;Update;Memory;8388608
